MillCity-NV,0,221,259,202,269,252,247,480,515,553,380,540,414,317,470,359,510,555,425,283,735,656,666,535,729,682,685,594,525,555,558,650,387,355,435,268,581,332,517,291,580,386,459,505,977,1174,966,1005,1173,382,377,425,389,397,420,416,625,833,671,678,745,739,907,727,662,1010,1096,833,789,745,721,740,779,765,897,787,810,593,771,912,566,933,548,463,659,671,792,820,649,204,171,271,277,275,1125,1128,1004,1080,924,1215,1031,967,1118,1098,1139,1107,1087,1122,286,276,269,475,430,264,320,395,448,410,471,449,382,399,471,534,371,322,678
Eureka-NV,221,0,198,164,231,214,209,642,677,715,542,702,543,479,632,473,672,717,530,445,848,770,828,697,843,846,799,707,638,669,547,654,492,460,440,373,569,436,505,279,583,375,462,494,823,1007,811,850,1018,318,313,320,325,333,327,353,748,794,632,640,707,853,753,572,508,858,955,770,634,590,567,573,612,598,730,620,612,426,708,848,502,870,484,399,596,607,728,757,611,366,333,383,395,387,1087,1089,941,1041,861,1048,968,903,977,957,998,971,946,980,348,356,356,436,391,372,282,356,410,422,432,411,344,360,432,495,445,284,640
